,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
122,mahebourg,40,MU,1580959891,78,-20.41,57.7,80.6,6.2
123,severo-kurilsk,100,RU,1580959891,61,50.68,156.12,17.744000000000074,1.82
124,grand gaube,40,MU,1580959891,78,-20.01,57.66,80.6,6.2
125,aklavik,75,CA,1580959891,75,68.22,-135.01,-18.39999999999995,2.6
126,lebu,0,CL,1580959891,70,-37.62,-73.65,52.30400000000005,3.59
127,oranjemund,49,NA,1580959891,85,-28.55,16.43,64.83200000000002,3.13
128,dudinka,75,RU,1580959891,85,69.41,86.18,12.2,12.0
129,nanortalik,100,GL,1580959892,78,60.14,-45.24,28.4,2.73
130,vardo,98,NO,1580959892,68,70.37,31.11,25.628000000000064,9.76
131,tsovazard,40,AM,1580959892,86,40.47,45.06,33.8,0.5
132,morristown,90,US,1580959892,100,36.21,-83.29,62.00600000000003,2.1
133,cockburn town,34,TC,1580959617,81,21.46,-71.14,78.08000000000004,10.01
134,new iberia,90,US,1580959892,100,30.0,-91.82,64.4,5.1
135,bacalar,40,MX,1580959892,83,18.67,-88.38,78.8,5.1
136,yerbogachen,100,RU,1580959892,95,61.28,108.01,-4.791999999999945,3.31
137,slave lake,90,CA,1580959892,92,55.28,-114.77,28.4,2.1
138,samarai,100,PG,1580959893,53,-10.62,150.67,90.66200000000006,2.0
139,edson,1,CA,1580959893,59,53.58,-116.44,35.6,4.6
140,presidencia roque saenz pena,4,AR,1580959893,78,-26.79,-60.44,79.016,3.82
141,dhidhdhoo,0,MV,1580959893,70,6.88,73.1,81.87800000000007,4.38
142,hovd,74,MN,1580959893,79,48.01,91.64,1.7600000000000833,0.95
143,norman wells,75,CA,1580959893,76,65.28,-126.83,-3.9999999999999503,1.0
144,santa maria,0,BR,1580959893,83,-29.68,-53.81,77.0,5.1
145,darhan,0,MN,1580959893,85,49.49,105.92,0.9320000000000164,2.05
146,ixtapa,75,MX,1580959893,88,20.7,-105.2,69.00800000000001,2.1
147,westport,90,US,1580959894,51,41.14,-73.36,42.008,1.5
148,sorong,64,ID,1580959894,46,-0.88,131.25,93.434,2.1
149,san patricio,3,MX,1580959894,82,19.22,-104.7,75.32600000000009,6.34
150,alappuzha,22,IN,1580959894,83,9.49,76.33,78.0260000000001,1.02
151,tutoia,100,BR,1580959894,95,-2.76,-42.27,71.76200000000006,0.33
152,rio gallegos,49,AR,1580959894,70,-51.62,-69.22,48.2,4.6
153,half moon bay,90,US,1580959894,93,37.46,-122.43,55.004000000000055,3.6
154,svetlyy,75,RU,1580959894,81,54.67,20.13,42.8,10.0
155,umm lajj,0,SA,1580959895,42,25.02,37.27,55.70600000000003,0.22
156,tual,39,ID,1580959895,72,-5.67,132.75,84.92000000000006,3.04
157,ferrol,64,ES,1580959895,93,43.48,-8.24,50.0,2.1
158,nizhneudinsk,0,RU,1580959895,85,54.91,99.03,13.31600000000001,1.55
159,safford,1,US,1580959895,23,32.83,-109.71,39.2,8.2
160,cascavel,0,BR,1580959895,83,-24.96,-53.46,75.2,2.6
161,samfya,100,ZM,1580959895,97,-11.36,29.56,62.33000000000004,0.47
